Presence of JS,Presence of NS,Presence of internal JS,Presence of image,Presence of iframe,Presence of links,Number of JS,Number of NS,Number of internal JS,Number of image,Nuber of iframes,Number of links,Number of sms API call,Number of tel API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,probability0,probability1,presence of form,No of form,Output
0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,2,0,0,0,0,7,96059,60458,0.29466104599918,0.705338954000808,0,0,1
1,0,1,0,0,1,7,0,7,0,0,1,0,0,109,4,0,1,2,0,0,0,0,0,0,0.136638526320245,0.863361473679751,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,70,6,0,2,0,0,1,0,16,2456,34,0.280363969317046,0.719636030682951,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,4,1,0,0,0,0,0,0,0.39773251775268,0.602267482247334,0,0,1
1,0,1,1,0,0,2,0,2,3,0,0,0,0,69,6,0,3,1,0,0,0,0,0,0,0.302796768478623,0.697203231521365,1,1,1
1,0,1,0,0,1,7,0,7,0,0,4,0,0,70,3,0,1,11,0,0,0,1,0,0,0.309005536282637,0.690994463717374,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,0,1,0,0,0,0,18,0,0,0.279170470838319,0.720829529161696,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,0,5,1,0,0,0,0,0,0,0.363140442805454,0.636859557194541,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,5,0,1,4,0,0,0,23,0,0,0.282935074510619,0.717064925489385,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,8,0,2,0,0,0,0,0,0,0,0.303445318908552,0.69655468109146,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4,0,2,1,1,0,0,17,0,0,0.279454235219992,0.720545764780021,0,0,1
1,1,1,0,1,1,1,1,1,0,1,1,0,0,38,3,0,2,0,0,0,0,0,30758,49426,0.341490093548912,0.658509906451089,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,1,0,0,0,0,0,0,0,0.469188828165784,0.530811171834222,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,2,0,0,0,0,0,0,0,0.412343738646918,0.587656261353082,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,1,0,0,0,0,0,0,0,0.435052071249777,0.564947928750215,0,0,1
1,0,1,0,0,1,5,0,5,0,0,16,0,0,70,3,0,1,9,0,0,0,4,0,0,0.307920083080575,0.692079916919414,1,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,4,1,0,0,0,0,0,0,0.371308799064705,0.628691200935304,0,0,1
1,0,1,1,0,1,5,0,5,1,0,29,0,0,110,13,0,3,1,1,0,0,5,0,0,0.136053070565338,0.86394692943465,1,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,1,2,0,0,0,0,0,0,0.440705109637291,0.559294890362698,0,0,1
0,0,0,1,0,1,0,0,0,1,0,10,0,0,46,3,0,7,1,0,0,0,6,0,0,0.391667099604614,0.608332900395374,1,1,1
