Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
1,1,0,1,1,0,0,1,22,2,0,22,44,0,0,357,0,0,0,0,21,2,0,2,0,0,0,0,0,0,2071,150,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,1,0,0,0,0,0,0,3593,1945,0
1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,19,0,0,0,0,23,2,0,2,0,0,0,0,0,0,1,1,0
1,1,0,1,1,1,0,1,35,47,0,35,103,1,0,108,0,0,0,0,19,2,0,1,0,0,0,0,0,0,13117,593,0
1,0,0,1,0,0,0,1,28,0,0,28,0,0,0,2,0,0,0,0,23,2,0,1,0,0,0,0,0,0,720,392,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,2,0,2,0,0,0,0,0,0,1812,77,0
1,0,0,1,1,0,0,1,13,0,0,13,27,0,0,42,0,0,0,0,14,2,0,1,0,0,0,0,0,0,2311,44,0
1,0,0,1,1,0,0,1,12,0,0,12,31,0,0,84,0,0,0,0,18,2,0,1,0,0,0,0,0,0,6166,1960,0
1,1,0,1,0,1,0,1,9,2,0,9,0,2,0,19,0,0,0,0,21,2,0,1,0,0,0,0,0,0,467318,0,0
1,1,0,1,1,1,0,1,15,1,0,15,1,1,0,29,0,0,0,0,19,2,0,1,0,0,0,0,0,0,89,51,0
1,1,0,1,1,0,0,1,28,1,0,28,1,0,0,459,0,0,0,0,14,2,0,1,0,0,0,0,0,0,289,278,0
1,1,0,1,1,1,0,1,36,1,0,36,32,1,0,68,0,0,0,0,18,2,0,1,0,0,0,0,0,0,293,498,0
1,0,0,1,1,0,0,1,6,0,0,6,7,0,0,30,0,0,0,0,28,2,0,2,0,0,0,0,0,0,1,1,0
1,0,0,1,1,0,0,1,8,0,0,8,3,0,0,96,0,0,0,0,18,2,0,2,0,0,0,0,0,0,628,23,0
1,1,0,1,1,1,0,1,18,2,0,18,17,1,0,121,0,0,0,0,24,2,0,2,0,0,0,0,0,0,1,1,0
1,0,0,1,1,0,0,1,6,0,0,6,1,0,0,28,0,0,0,0,23,2,0,2,0,0,0,0,0,1,1,1,0
1,1,0,1,1,1,0,1,16,5,0,16,13,2,0,1319,0,0,0,0,14,2,0,1,0,0,0,0,0,0,4186,2995,0
1,1,0,1,1,0,0,1,6,1,0,6,30,0,0,411,0,0,0,0,24,2,0,2,0,0,0,0,0,0,12,8,0
1,0,0,1,1,0,0,1,6,0,0,6,1,0,0,29,0,0,0,0,17,2,0,1,0,0,0,0,0,0,124,8,0
1,0,0,1,1,0,0,1,14,0,0,14,5,0,0,17,0,1,0,0,19,2,0,1,0,0,0,0,0,0,21,13,0
1,0,0,1,1,0,0,1,7,0,0,7,2,0,0,245,0,0,0,0,15,2,0,1,0,0,0,0,0,0,3063,5671,0
1,1,0,1,1,1,0,1,29,1,0,29,41,2,0,222,0,0,0,0,22,2,0,1,0,0,0,0,0,0,697,426,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,2,0,0,0,0,0,0,830,531,0
1,1,0,1,1,1,0,1,27,2,0,27,9,3,0,62,0,0,0,0,21,2,0,1,0,0,0,0,0,0,150,120,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,2,0,0,0,0,0,0,887,677,0
1,0,0,1,0,0,0,1,41,0,0,41,0,0,0,61,0,0,0,0,22,2,0,1,0,0,0,0,0,0,795,236,0
1,1,0,1,1,1,0,1,50,1,0,50,25,1,0,250,0,0,0,0,18,2,0,1,0,0,0,0,0,0,299,15,0
1,0,0,1,1,0,0,1,24,0,0,24,51,0,0,143,0,0,0,0,15,2,0,1,0,0,0,0,0,0,4445,1201,0
1,1,0,1,0,0,0,1,13,2,0,13,0,0,0,9,0,0,0,0,22,2,0,1,0,0,0,0,0,0,99,71,0
1,0,0,1,1,0,0,1,27,0,0,27,24,0,0,143,0,0,0,0,15,2,0,1,0,0,0,0,0,0,5135,116,0
