Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,48,6,0,2,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,53,3,0,5,1,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,3,0,0,3,1,0,0,2,0,0,0,0,36,3,0,2,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1,7,0,0,7,0,0,0,4,0,0,0,0,70,3,0,1,11,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,8,0,2,2,0,0,0,0,0,0,0,1
1,1,0,1,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,42,3,0,2,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,66,3,0,1,9,0,0,0,0,5,0,0,1
1,0,0,1,0,0,0,1,5,0,0,5,0,0,0,16,0,0,0,0,70,3,0,1,9,0,0,0,0,4,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,1,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1,5,0,0,5,0,0,0,16,0,0,0,0,70,3,0,1,9,0,0,0,0,6,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,0,2,0,0,0,0,0,1,278935,24967,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,1,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,70,3,1,2,1,1,1,0,0,3,0,0,1
1,0,0,1,1,0,0,1,3,0,0,3,1,0,0,2,0,0,0,0,40,3,0,2,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,0,1,37,1,0,37,76,0,0,124,0,0,0,0,22,3,0,1,0,0,0,0,0,3,3918,998,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,8,0,5,1,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,15,0,0,15,9,0,0,36,0,0,0,0,41,3,0,2,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,8,0,2,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,39,3,0,2,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,30,3,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,6,0,1,1,0,0,0,0,0,7249666,0,1
1,1,0,1,1,0,0,1,37,1,0,37,76,0,0,124,0,0,0,0,24,3,0,2,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1,18,0,0,18,0,0,0,16,0,2,0,0,65,3,0,3,0,0,0,0,0,17,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,27,3,0,1,2,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,92,0,0,0,0,40,3,0,2,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,2,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,3,0,0,3,1,0,0,2,0,0,0,0,70,5,1,1,0,0,2,1,0,0,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,16,0,0,0,0,38,3,0,3,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,0,1,1,1,0,1,2,0,0,26,0,0,0,0,70,3,1,3,1,0,1,0,0,7,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3,0,2,0,0,0,0,0,18,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,16,0,0,0,0,40,3,0,3,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,70,6,0,2,0,0,0,0,0,4,2528,38,1
1,0,0,1,1,0,0,1,3,0,0,3,1,0,0,2,0,0,0,0,33,3,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,1,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,0,1,10,47,0,10,24,0,0,997,0,0,0,0,60,3,0,1,1,0,0,0,0,26,0,0,1
